abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;defense;hp;name;pokedex_number;sp_attack;sp_defense;speed;type1;type2;generation;is_legendary;developers_favourite;design_date;shiny_rate;catch_routes
['Inner Focus', 'Infiltrator'];0.25;1;1;2;0.5;0.25;1;1;1;0.25;0;2;1;0.5;2;2;1;1;80;70;75;Golbat;42;65;75;90;poison;flying;1;0;false;1995- 8- 7;0.25; 7 22 2 22
['Chlorophyll', 'Run Away'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;50;55;45;Oddish;43;75;65;30;grass;poison;1;0;true;1995- 1- 9;1.5;10  2 2 22
['Chlorophyll', 'Stench'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;65;70;60;Gloom;44;85;75;40;grass;poison;1;0;false;1995- 7-17;1.5; 5 12 2 22
['Chlorophyll', 'Effect Spore'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;80;85;75;Vileplume;45;110;90;50;grass;poison;1;0;true;1994-11-27;1.5; 1  6 2 23
['Effect Spore', 'Dry Skin', 'Damp'];2;1;1;0.5;1;0.5;4;4;1;0.25;0.25;2;1;2;1;2;1;0.5;70;55;35;Paras;46;45;55;25;bug;grass;1;0;false;1990- 4- 8;2.5;10  8 2 22
['Effect Spore', 'Dry Skin', 'Damp'];2;1;1;0.5;1;0.5;4;4;1;0.25;0.25;2;1;2;1;2;1;0.5;95;80;60;Parasect;47;60;80;30;bug;grass;1;0;false;1991- 1-30;2.5; 7 14 2 22
['Compoundeyes', 'Tinted Lens', 'Run Away'];0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;55;50;60;Venonat;48;40;55;45;bug;poison;1;0;false;1994- 4-17;0.5; 7 28 2 22
['Shield Dust', 'Tinted Lens', 'Wonder Skin '];0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;65;60;70;Venomoth;49;90;75;90;bug;poison;1;0;true;1991-10-19;0.5; 9 29 2 22
['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;55;30;10;Diglett;50;35;45;90;ground;ground;1;0;true;1995-11- 7;1.5; 7 24 2 22
['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;100;60;35;Dugtrio;51;50;70;110;ground;ground;1;0;true;1991- 7-12;1.5;10 30 2 22
['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;35;35;40;Meowth;52;50;40;90;normal;dark;1;0;true;1992- 7- 7;1.5; 7 12 2 22
['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;60;60;65;Persian;53;75;65;115;normal;dark;1;0;true;1995- 3-26;1.5; 7 17 2 22
['Damp', 'Cloud Nine', 'Swift Swim'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;52;48;50;Psyduck;54;65;50;55;water;;1;0;false;1994- 3- 4;1.5;11 16 2 22
['Damp', 'Cloud Nine', 'Swift Swim'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;82;78;80;Golduck;55;95;80;85;water;;1;0;true;1993-11- 9;1.5; 8 18 2 22
['Vital Spirit', 'Anger Point', 'Defiant'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;80;35;40;Mankey;56;35;45;70;fighting;;1;0;false;1992-10- 9;0.5; 9  4 2 22
['Vital Spirit', 'Anger Point', 'Defiant'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;1 5;60;65;Primeape;57;60;70;95;fighting;;1;0;false;1995- 5-24;0.5; 9 20 2 22
['Intimidate', 'Flash Fire', 'Justified'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;70;45;55;Growlithe;58;70;50;60;fire;;1;0;false;1992- 6-25;0.5; 2 19 2 23
['Intimidate', 'Flash Fire', 'Justified'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;110;80;90;Arcanine;59;100;80;95;fire;;1;0;false;1995- 2-18;0.5; 1  6 2 23
['Water Absorb', 'Damp', 'Swift Swim'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;50;40;40;Poliwag;60;40;40;90;water;;1;0;false;1993- 7- 3;1.5; 5 14 2 22
['Water Absorb', 'Damp', 'Swift Swim'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;65;65;65;Poliwhirl;61;50;50;90;water;;1;0;false;1995- 1-13;1.5; 6  9 2 22
['Water Absorb', 'Damp', 'Swift Swim'];0.5;0.5;1;2;2;1;0.5;2;1;2;1;0.5;1;1;2;0.5;0.5;0.5;95;95;90;Poliwrath;62;70;90;70;water;fighting;1;0;false;1995- 4-24;0.5;11 19 2 22
['Synchronize', 'Inner Focus', 'Magic Guard'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;20;15;25;Abra;63;1 5;55;90;psychic;;1;0;false;1995-10-25;2.5;12  4 2 22
['Synchronize', 'Inner Focus', 'Magic Guard'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;35;30;40;Kadabra;64;120;70;1 5;psychic;;1;0;true;1990-12-21;2.5; 5  4 2 22
['Synchronize', 'Inner Focus', 'Magic Guard'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;50;45;55;Alakazam;65;135;85;120;psychic;;1;0;true;1993- 3- 6;2.5;12  6 2 22
['Guts', 'No Guard', 'Steadfast'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;80;50;70;Machop;66;35;35;35;fighting;;1;0;false;1990- 5-27;0.5; 5 13 2 22
['Guts', 'No Guard', 'Steadfast'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;100;70;80;Machoke;67;50;60;45;fighting;;1;0;true;1991- 8- 1;0.5; 4 17 2 22
['Guts', 'No Guard', 'Steadfast'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;130;80;90;Machamp;68;65;85;55;fighting;;1;0;false;1994- 7-26;0.5; 7 21 2 22
['Chlorophyll', 'Gluttony'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;75;35;50;Bellsprout;69;70;30;40;grass;poison;1;0;false;1994- 8-19;1.5; 7 23 2 22
['Chlorophyll', 'Gluttony'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;90;50;65;Weepinbell;70;85;45;55;grass;poison;1;0;true;1992- 6-30;1.5; 7 19 2 22
['Chlorophyll', 'Gluttony'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;1 5;65;80;Victreebel;71;100;70;70;grass;poison;1;0;false;1992- 1- 9;1.5; 4 28 2 22
['Clear Body', 'Liquid Ooze', 'Rain Dish'];0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5;40;35;40;Tentacool;72;50;100;70;water;poison;1;0;true;1992- 4-10;0.5; 9 18 2 22
['Clear Body', 'Liquid Ooze', 'Rain Dish'];0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5;70;65;80;Tentacruel;73;80;120;100;water;poison;1;0;true;1995- 5-28;0.5; 8 30 2 22
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;80;100;40;Geodude;74;30;30;20;rock;ground;1;0;false;1993- 1-17;1.5; 2 17 2 23
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;95;115;55;Graveler;75;45;45;35;rock;ground;1;0;false;1990- 9- 7;1.5;11  2 2 22
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;120;130;80;Golem;76;55;65;45;rock;ground;1;0;true;1994- 3-14;1.5; 7  4 2 22
['Run Away', 'Flash Fire', 'Flame Body'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;85;55;50;Ponyta;77;65;65;90;fire;;1;0;false;1994-11-29;0.5;12 18 2 22
['Run Away', 'Flash Fire', 'Flame Body'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;100;70;65;Rapidash;78;80;80;1 5;fire;;1;0;true;1995-11-28;0.5; 5 20 2 22
['Oblivious', 'Own Tempo', 'Regenerator'];2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5;65;65;90;Slowpoke;79;40;40;15;water;psychic;1;0;true;1993- 3-14;2.5; 4  6 2 22
['Oblivious', 'Own Tempo', 'Regenerator'];2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5;75;110;95;Slowbro;80;100;80;30;water;psychic;1;0;false;1992-12- 4;2.5; 4 12 2 22
['Magnet Pull', 'Sturdy', 'Analytic'];0.5;1;0.5;0.5;0.5;2;2;0.25;1;0.5;4;0.5;0.5;0;0.5;0.5;0.25;1;35;70;25;Magnemite;81;95;55;45;electric;steel;1;0;false;1992- 9-16;0.5; 1 12 2 23
['Magnet Pull', 'Sturdy', 'Analytic'];0.5;1;0.5;0.5;0.5;2;2;0.25;1;0.5;4;0.5;0.5;0;0.5;0.5;0.25;1;60;95;50;Magneton;82;120;70;70;electric;steel;1;0;true;1994- 8- 7;0.5;12 29 2 22
['Keen Eye', 'Inner Focus', 'Defiant'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;90;55;52;Farfetch'd;83;58;62;60;normal;flying;1;0;true;1995- 8-23;0.5; 1 28 2 23
['Run Away', 'Early Bird', 'Tangled Feet'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;85;45;35;Doduo;84;35;35;75;normal;flying;1;0;true;1992- 9-17;0.5;10 25 2 22
['Run Away', 'Early Bird', 'Tangled Feet'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;110;70;60;Dodrio;85;60;60;110;normal;flying;1;0;true;1993- 9- 3;0.5; 3 20 2 22
['Thick Fat', 'Hydration', 'Ice Body'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;45;55;65;Seel;86;45;70;45;water;;1;0;true;1992-12-24;1.5;11 15 2 22
['Thick Fat', 'Hydration', 'Ice Body'];1;1;1;2;1;2;1;1;1;2;1;0.25;1;1;1;2;1;0.5;70;80;90;Dewgong;87;70;95;70;water;ice;1;0;false;1992- 7-28;1.5; 3 20 2 22
['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;80;50;80;Grimer;88;40;50;25;poison;poison;1;0;false;1992- 7- 4;0.5; 9 10 2 22
['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;1 5;75;1 5;Muk;89;65;100;50;poison;poison;1;0;true;1994- 8-28;0.5;10 30 2 22
['Shell Armor', 'Skill Link', 'Overcoat'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;65;100;30;Shellder;90;45;25;40;water;;1;0;true;1992- 3-28;1.5; 1 11 2 23
['Shell Armor', 'Skill Link', 'Overcoat'];1;1;1;2;1;2;1;1;1;2;1;0.25;1;1;1;2;1;0.5;95;180;50;Cloyster;91;85;45;70;water;ice;1;0;false;1993- 9-15;1.5; 6  2 2 22
['Levitate'];0.25;2;1;1;0.5;0;1;1;2;0.5;2;1;0;0.25;2;1;1;1;35;30;30;Gastly;92;100;35;80;ghost;poison;1;0;false;1991- 8-30;0.25;12  3 2 22
['Levitate'];0.25;2;1;1;0.5;0;1;1;2;0.5;2;1;0;0.25;2;1;1;1;50;45;45;Haunter;93;115;55;95;ghost;poison;1;0;true;1995-12-29;0.25; 2  2 2 23
['Cursed Body'];0.25;2;1;1;0.5;0;1;1;2;0.5;2;1;0;0.25;2;1;1;1;65;60;60;Gengar;94;130;75;110;ghost;poison;1;0;true;1994- 7-18;0.25;12 21 2 22
['Rock Head', 'Sturdy', 'Weak Armor'];1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;45;160;35;Onix;95;30;45;70;rock;ground;1;0;false;1994-12-27;1.5;11  2 2 22
['Insomnia', 'Forewarn', 'Inner Focus'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;48;45;60;Drowzee;96;43;90;42;psychic;;1;0;true;1991- 1- 8;2.5;12 20 2 22
['Insomnia', 'Forewarn', 'Inner Focus'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;73;70;85;Hypno;97;73;115;67;psychic;;1;0;true;1994-11- 2;2.5;11 25 2 22
['Hyper Cutter', 'Shell Armor', 'Sheer Force'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;1 5;90;30;Krabby;98;25;25;50;water;;1;0;true;1990-10-25;1.5; 7  9 2 22
['Hyper Cutter', 'Shell Armor', 'Sheer Force'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;130;115;55;Kingler;99;50;50;75;water;;1;0;true;1991- 6- 5;1.5;11  8 2 22
['Soundproof', 'Static', 'Aftermath'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;30;50;40;Voltorb;100;55;55;100;electric;;1;0;true;1991- 4-15;1.5;12 18 2 22
['Soundproof', 'Static', 'Aftermath'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;50;70;60;Electrode;1 1;80;80;150;electric;;1;0;true;1990-11-17;1.5; 4 23 2 22
['Chlorophyll', 'Harvest'];4;2;1;0.5;1;0.5;2;2;2;0.5;0.5;2;1;2;0.5;1;1;0.5;40;80;60;Exeggcute;1 2;60;45;40;grass;psychic;1;0;false;1992-11-15;0.45; 6  5 2 22
['Chlorophyll', 'Harvest', 'Frisk', 'Harvest'];4;2;1;0.5;1;0.5;2;2;2;0.5;0.5;2;1;2;0.5;1;1;0.5;1 5;85;95;Exeggutor;1 3;125;75;45;grass;psychic;1;0;false;1992- 8-27;0.45; 6 20 2 22
['Rock Head', 'Lightningrod', 'Battle Armor'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;50;95;50;Cubone;1 4;40;50;35;ground;;1;0;true;1990- 4-27;1.5; 5 22 2 22
['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;80;110;60;Marowak;1 5;50;80;45;ground;fire;1;0;false;1993- 5- 7;1.5;10  5 2 22
['Limber', 'Reckless', 'Unburden'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;120;53;50;Hitmonlee;1 6;35;110;87;fighting;;1;0;false;1995- 7-14;0.5; 4 26 2 22
['Keen Eye', 'Iron Fist', 'Inner Focus'];0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;1 5;79;50;Hitmonchan;1 7;35;110;76;fighting;;1;0;true;1990-11-14;0.5;10  8 2 22
['Own Tempo', 'Oblivious', 'Cloud Nine'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;55;75;90;Lickitung;1 8;60;75;30;normal;;1;0;false;1991- 1-24;1.5; 3 26 2 22
['Levitate'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;65;95;40;Koffing;1 9;60;45;35;poison;;1;0;true;1995- 7- 6;0.5;10 15 2 22
['Levitate'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;90;120;65;Weezing;110;85;70;60;poison;;1;0;true;1992- 4-16;0.5; 9 29 2 22
['Lightningrod', 'Rock Head', 'Reckless'];1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;85;95;80;Rhyhorn;111;30;30;25;ground;rock;1;0;true;1991- 4- 6;1.5;12 26 2 22
['Lightningrod', 'Rock Head', 'Reckless'];1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;130;120;1 5;Rhydon;112;45;45;40;ground;rock;1;0;false;1992- 1-15;1.5; 2 12 2 23
